Material Code,Material Name,Unit Name,Balance QTY
P0601200100101,ขาตั้งนั่งร้าน 1219 x 490 mm. (0.50 ม.) ,ชิ้น,2793
P0601200100201,ขาตั้งนั่งร้าน 1219 x 914 mm. (0.90 ม.) ,ชิ้น,2420
P0601200100301,ขาตั้งนั่งร้าน 1219 x 1524 mm. (1.50 ม.) ,ชิ้น,164
P0601200100401,ขาตั้งนั่งร้าน 1219 x 1700 mm. (1.70 ม.) ,ชิ้น,17993
P0601200100501,ขาตั้งนั่งร้าน 1219 x 1219 mm. (1.20 ม.) ,ชิ้น,626
P0601200200101,ข้อต่อนั่งร้าน ขนาด 35 x 225 mm. ,ชิ้น,1187
P0601200300101,บันไดนั่งร้าน 450x1829x1725 mm.8 ขั้น ,ชิ้น,204
P0601400101001,ฝาครอบนั่งร้าน  ,แผ่น,1043
P0601500101001,แผ่นทางเดินนั่งร้าน (Cat Walk)  ,แผ่น,425
P0601600100101,กากบาด ขนาด 1829 x 280 x 1850 mm. (1.85 m.) ,ชิ้น,9167
P0601600100201,กากบาด ขนาด 1829 x 610 x 1928 mm. (1.90 m.) ,ชิ้น,3004
P0601600100301,กากบาด ขนาด 1829 x 914 x 2045 mm. (2.05 m.) ,ชิ้น,4339
P0601600100401,กากบาด ขนาด 1829 x 1219 x 2198 mm. (2.20 m.) ,ชิ้น,6883
P0601700100101,ข้อเสือแบบปรับหมุนได้ 42.7-48.6 มม. ,ตัว,5348
P0601800303001,U-Head ขนาด 0.60 เมตร ,ตัว,3495
P0601900303001,Jack Base ขนาด 0.60 เมตร ,ตัว,2452
